uke2_1_neu,uke2_2_neu,uke2_3_neu,recoded_uke2_4_neu,uke2_5_neu,recoded_uke2_6_neu,uke2_7_neu,recoded_uke2_8_neu,uke2_9_neu,age_group,q1,educ_rec,Parties,weight
3,4,3,4,4,3,4,NA,4,4,2,3,3,0.9081781403232765
4,4,4,1,4,1,4,1,4,4,2,2,1,0.8591574271013479
2,4,4,4,3,4,4,1,2,4,1,3,4,1.1086500991149306
2,3,2,3,3,2,4,1,3,6,1,2,4,1.000374829081128
3,4,NA,NA,3,2,4,NA,NA,4,2,2,NA,1.4719129726130034
4,3,2,2,3,1,4,1,4,3,1,2,1,0.7738261546207301
3,4,4,3,3,1,4,3,3,5,2,2,2,1.6755818631992305
1,3,3,4,3,3,3,1,3,5,2,2,2,1.3726858540422622
4,4,4,4,4,1,4,1,4,5,1,1,2,1.3260789897894374
4,4,4,4,4,4,4,3,4,3,2,2,3,0.9243261902182486
4,4,4,4,4,1,4,NA,4,6,1,2,NA,1.1946507851242434
3,1,2,4,2,3,2,4,1,2,2,2,1,0.6962151773399894
1,3,2,4,3,1,3,1,2,5,1,1,2,1.0652588927745803
1,3,1,2,2,2,3,1,1,3,1,1,NA,1.0659460947363504
NA,3,NA,3,3,2,NA,2,3,5,1,2,3,0.8316448405644148
3,2,3,3,3,2,3,2,3,3,2,1,3,0.7949802170757124
3,4,NA,3,3,1,4,2,4,4,1,1,NA,0.9386730859965239
3,4,3,3,4,3,4,3,4,5,1,2,2,1.025176129499408
4,4,3,4,4,3,4,NA,4,2,2,3,1,0.6446259298413121
2,3,3,3,3,1,3,2,3,5,2,3,5,0.9272108315817142
3,3,3,3,3,2,3,1,3,4,1,1,4,0.8369885792712484
3,3,2,4,3,1,3,1,3,4,1,2,5,0.8669264444202167
4,4,4,2,4,1,4,3,4,2,2,2,NA,0.9863925306822948
2,2,2,2,2,2,1,3,1,2,2,2,1,0.9375768107081576
4,4,4,3,3,2,4,2,4,5,2,2,2,0.9995120959804981
4,3,3,3,3,3,3,1,3,1,1,1,NA,0.9803348674057166
4,4,4,3,4,3,4,3,2,4,1,3,5,1.2853016715707046
4,4,4,4,4,4,4,3,4,6,1,2,6,0.8208583228580699
3,3,3,2,3,2,3,2,NA,4,1,1,4,0.7514053727292306
1,3,1,4,1,1,1,1,1,3,1,3,NA,1.0282866076043462
3,3,1,3,2,1,3,1,2,3,2,3,NA,1.37253695430762
3,3,2,2,4,2,4,1,4,3,1,2,NA,1.3721239027256147
1,1,1,NA,1,1,1,1,1,4,1,1,4,0.5659444762421149
1,1,1,NA,1,1,1,1,3,5,1,3,3,0.8617805636795637
4,3,4,1,4,1,4,1,4,4,2,NA,3,0.5532153149382838
3,3,3,4,1,1,1,1,4,5,1,3,NA,1.142779636542786
4,4,4,4,3,4,4,NA,4,5,2,2,1,0.7210301692409237
3,4,3,3,4,1,4,1,4,6,1,1,4,0.7126489714293824
4,4,3,4,4,2,4,4,4,3,1,3,3,0.8680647728642444
2,3,3,3,3,3,3,3,NA,3,2,3,3,0.9735968586785255
3,4,2,NA,2,2,3,4,3,1,1,3,2,1.0163155916307007
1,4,1,4,4,1,4,3,2,3,2,2,NA,1.0113835473548998
4,4,NA,4,4,3,4,2,4,2,2,3,6,0.8840036700482256
3,3,3,3,4,3,2,1,2,1,2,3,1,1.3015335667891166
3,3,3,4,4,NA,3,3,3,4,1,3,3,1.023600511826167
1,2,1,4,1,1,2,1,1,2,1,3,5,1.100669027818872
3,3,3,2,3,2,3,2,3,3,2,2,5,1.3606512456838626
4,3,4,3,4,2,3,2,4,4,2,NA,NA,0.5972587617722537
4,2,NA,2,4,NA,NA,1,4,2,2,3,2,1.814706150742796
4,4,4,4,4,1,4,3,4,4,2,3,3,0.7638319485587789
